
Loading Cifar 10 Dataset...
Files already downloaded and verified
Files already downloaded and verified
Loaded Cifar 10!

========================================

Epoch [9/150] | Train iter [270/391] | acc_top1 = 19.53125 | acc_top5 = 67.18750 | loss = 2.25433
Epoch [9/150] | Train iter [320/391] | acc_top1 = 20.31250 | acc_top5 = 71.09375 | loss = 2.25372
Epoch [9/150] | Train iter [370/391] | acc_top1 = 24.21875 | acc_top5 = 68.75000 | loss = 2.25325
Epoch [9/150] | Train iter [391/391] | acc_top1 = 17.50000 | acc_top5 = 72.50000 | loss = 2.25295

Epoch [9/150] | Validation | acc_top1 = 22.93315 | acc_top5 = 78.99525 | loss = 2.26980

========================================

Epoch [10/150] | Train iter [20/391] | acc_top1 = 24.21875 | acc_top5 = 71.09375 | loss = 2.24632
Epoch [10/150] | Train iter [70/391] | acc_top1 = 32.81250 | acc_top5 = 73.43750 | loss = 2.24607
Epoch [10/150] | Train iter [120/391] | acc_top1 = 18.75000 | acc_top5 = 77.34375 | loss = 2.24500
Epoch [10/150] | Train iter [170/391] | acc_top1 = 23.43750 | acc_top5 = 71.87500 | loss = 2.24484
Epoch [10/150] | Train iter [220/391] | acc_top1 = 25.00000 | acc_top5 = 71.87500 | loss = 2.24382
Epoch [10/150] | Train iter [270/391] | acc_top1 = 19.53125 | acc_top5 = 76.56250 | loss = 2.24335
Epoch [10/150] | Train iter [320/391] | acc_top1 = 23.43750 | acc_top5 = 71.09375 | loss = 2.24215
Epoch [10/150] | Train iter [370/391] | acc_top1 = 19.53125 | acc_top5 = 78.12500 | loss = 2.24102
Epoch [10/150] | Train iter [391/391] | acc_top1 = 22.50000 | acc_top5 = 68.75000 | loss = 2.24061

Epoch [10/150] | Validation | acc_top1 = 23.61551 | acc_top5 = 79.84573 | loss = 2.25584

========================================

Epoch [11/150] | Train iter [20/391] | acc_top1 = 24.21875 | acc_top5 = 71.87500 | loss = 2.23205
Epoch [11/150] | Train iter [70/391] | acc_top1 = 23.43750 | acc_top5 = 72.65625 | loss = 2.23483
Epoch [11/150] | Train iter [120/391] | acc_top1 = 21.87500 | acc_top5 = 72.65625 | loss = 2.23309
Epoch [11/150] | Train iter [170/391] | acc_top1 = 21.09375 | acc_top5 = 70.31250 | loss = 2.23150
Epoch [11/150] | Train iter [220/391] | acc_top1 = 26.56250 | acc_top5 = 71.09375 | loss = 2.23018
Epoch [11/150] | Train iter [270/391] | acc_top1 = 18.75000 | acc_top5 = 71.87500 | loss = 2.22903
Epoch [11/150] | Train iter [320/391] | acc_top1 = 22.65625 | acc_top5 = 72.65625 | loss = 2.22833
Epoch [11/150] | Train iter [370/391] | acc_top1 = 23.43750 | acc_top5 = 68.75000 | loss = 2.22811
Epoch [11/150] | Train iter [391/391] | acc_top1 = 21.25000 | acc_top5 = 76.25000 | loss = 2.22787

Epoch [11/150] | Validation | acc_top1 = 24.39676 | acc_top5 = 80.28085 | loss = 2.24204

========================================

Epoch [12/150] | Train iter [20/391] | acc_top1 = 23.43750 | acc_top5 = 74.21875 | loss = 2.21989
Epoch [12/150] | Train iter [70/391] | acc_top1 = 27.34375 | acc_top5 = 79.68750 | loss = 2.21853
Epoch [12/150] | Train iter [120/391] | acc_top1 = 25.00000 | acc_top5 = 72.65625 | loss = 2.21789
